0xC84CE4FF	0.00
0xC8F8F80E	dlc_mp_arena_m_special_3_18
0xC817D792	dlc_mp_arena_m_torso_0_7
0xC8A45E11	dlc_mp_bh_f_jbib_0_13
0xC881B0FD	dlc_mp_bh_f_jbib_4_1
0xC8BB0654	dlc_mp_bh_f_jbib_4_18
0xC82F6865	dlc_mp_bh_f_legs_0_6
0xC83B5242	dlc_mp_bh_f_special_11_5
0xC806AD7B	dlc_mp_bh_f_special_4_3
0xC8503675	dlc_mp_bh_m_feet_1_3
0xC8AAE05D	dlc_mp_bh_m_jbib_3_9
0xC884B196	dlc_mp_bh_m_jbib_5_12
0xC8607889	dlc_mp_bh_m_jbib_9_6
0xC8F6E19F	dlc_mp_bh_m_special_3_3
0xC8A31485	dlc_mp_biker_f_special_14_2
0xC8D65AA4	dlc_mp_biker_f_special_2_19
0xC86156E1	dlc_mp_biker_f_torso_12_1
0xC83C9BB4	dlc_mp_biker_f_torso_4_0
0xC83D50D9	dlc_mp_biker_m_hand_3_11
0xC8CE8764	dlc_mp_busi2_m_teeth3_0
0xC8D64497	dlc_mp_busi_m_hair0_4
0xC8A16D69	dlc_mp_exec_f_feet_0_2
0xC8F11261	dlc_mp_exec_m_feet_1_3
0xC88BB2FB	dlc_mp_fixer_f_decl_3_0
0xC8D60690	dlc_mp_fixer_f_jbib_7_8
0xC8C21B8B	dlc_mp_fixer_f_peyes_0_0
0xC8E6AF31	dlc_mp_fixer_m_jbib_2_7
0xC84D5B80	dlc_mp_fixer_m_jbib_5_9
0xC868E0D5	dlc_mp_gr_f_berd_2_9
0xC8D8F7A7	dlc_mp_gr_f_jbib_11_5
0xC85EED33	dlc_mp_gr_f_jbib_16_21
0xC8D40197	dlc_mp_gr_f_jbib_5_5
0xC8E77CD6	dlc_mp_gr_f_jbib_9_0
0xC82D6C73	dlc_mp_gr_f_special_10_22
0xC8C9545C	dlc_mp_gr_f_special_3_4
0xC87D6ECA	dlc_mp_gr_m_berd_4_3
0xC849B589	dlc_mp_gr_m_jbib_11_10
0xC836DC87	dlc_mp_gr_m_legs_0_1
0xC83F39DB	dlc_mp_gr_m_phead_3_1
0xC818C655	dlc_mp_gr_m_phead_5_7
0xC82243CF	dlc_mp_gr_m_torso_4_16
0xC859C57F	dlc_mp_h3_f_jbib_2_3
0xC8C1CEF5	dlc_mp_h3_f_jbib_9_5
0xC80BE3AB	dlc_mp_h3_f_phead_6_17
0xC8DFDB71	dlc_mp_h3_m_hand_2_3
0xC843491A	dlc_mp_h3_m_jbib_9_6
0xC8FD793D	dlc_mp_h4_m_special_1_9
0xC88565C0	dlc_mp_h4_m_special_2_13
0xC8B3E24D	dlc_mp_h4_m_teeth_13_6
0xC8FA555E	dlc_mp_hal_m_berd_12_2
0xC854DD26	dlc_mp_heist_f_berd_19_8
0xC8C7BEED	dlc_mp_heist_f_torso_61_0
0xC8519FD1	dlc_mp_heist_f_torso_76_0
0xC8341E16	dlc_mp_heist_m_berd_14_1
0xC871C687	dlc_mp_heist_m_berd_16_1
0xC89DF39E	dlc_mp_hips_f_berd_1_1
0xC844CBE4	dlc_mp_hips_f_jbib2_8
0xC86825A3	dlc_mp_hips_m_berd_1_1
0xC8550F08	dlc_mp_hips_m_teeth1_1
0xC8105E8F	dlc_mp_ie_m_jbib_13_5
0xC84BA3B4	dlc_mp_jan_f_hand_7_5
0xC80517A8	dlc_mp_jan_f_special2_7_5
0xC88CA87B	dlc_mp_jan_f_uppr_9_2
0xC84D9116	dlc_mp_jan_m_hand_7_4
0xC8CA1DB5	dlc_mp_lts_f_hand_4_22
0xC842DFC9	dlc_mp_lts_m_hand_4_21
0xC84719DB	dlc_mp_lts_m_hand_8_20
0xC8ADE9D7	dlc_mp_luxe2_m_jbib_2_15
0xC8F108BF	dlc_mp_luxe2_m_teeth_2_0
0xC8CF737E	dlc_mp_pilot_f_hand_6_10
0xC82E02FA	dlc_mp_pilot_m_hand_8_0
0xC8EEBBFB	dlc_mp_pilot_m_hand_8_21
0xC88C4DFC	dlc_mp_smug_f_berd_0_14
0xC802B155	dlc_mp_smug_f_berd_6_21
0xC89DD0D3	dlc_mp_smug_f_berd_8_3
0xC832DDAD	dlc_mp_smug_f_jbib_5_5
0xC88A5807	dlc_mp_smug_f_phead_7_6
0xC839E452	dlc_mp_smug_f_special_0_2
0xC8C368FE	dlc_mp_smug_m_berd_1_6
0xC8DF1812	dlc_mp_smug_m_jbib_4_4
0xC8B51C27	dlc_mp_smug_m_jbib_5_17
0xC8D8C971	dlc_mp_smug_m_special_9_0
0xC8672FF6	dlc_mp_stunt_f_jbib_0_4
0xC885807E	dlc_mp_stunt_f_legs_3_10
0xC88321EC	dlc_mp_stunt_f_torso_0_2
0xC84AB7E7	dlc_mp_stunt_m_legs_0_1
0xC829E9EC	dlc_mp_stunt_m_torso_0_7
0xC8C9B2C1	dlc_mp_sum2_f_jbib_8_0
0xC880F2C4	dlc_mp_sum_f_special_4_17
0xC8F835B0	dlc_mp_sum_m_legs_1_6
0xC8972293	dlc_mp_tuner_f_jbib_11_8
0xC8C28874	dlc_mp_tuner_m_jbib_13_0
0xC8BEFD06	dlc_mp_vwd_f_jbib_13_19
0xC818F4D0	dlc_mp_vwd_f_jbib_9_20
0xC8FB3C9F	dlc_mp_vwd_m_jbib_14_5
0xC864D722	dlc_mp_vwd_m_jbib_21_6
0xC8A44658	dlc_mp_vwd_m_legs_3_11
0xC87644EF	dlc_mp_x17_f_berd_3_23
0xC805D7E4	dlc_mp_x17_m_jbib_3_4
0xC8FB7877	dlc_mp_x17_m_legs_1_2
0xC8261FDB	dlc_mp_x22_f_berd_2_3
0xC8ECE457	dlc_mp_x22_f_jbib_8_8
0xC8019D20	dlc_mp_x22_f_teeth_2_6
0xC8FB0E18	dlc_mp_x22_m_feet_10_24
0xC8CDB392	dlc_mp_x22_m_feet_4_9
0xC8803CCE	dlc_mp_x22_m_legs_7_0
0xC83CDB35	dlc_vw_am_ip_frontend_sounds
0xC8F9F411	dont_tazeme_bro_b
0xC8FB432F	drey1_araa
0xC85FC626	drf_duae
0xC89FDADF	drf_mic_1_cs_1-20
0xC89E3A83	drf_mic_1_cs_1-7
0xC806DB0D	drf_mic_1_cs_1-70
0xC885DBFF	drf_mic_1_cs_1-72
0xC89429A0	drf_mic_1_cs_2-40
0xC8374A41	drf_mic_2_cs_1-102
0xC82986C0	drf_mic_2_cs_1-72
0xC887AB6E	drf_mic_3_cs_1-57
0xC8C60C7E	drf_mic_3_cs_2-3
0xC820FC26	e26
0xC8A983D4	eject_sniper_amrifle
0xC8E99AC8	emissive_plastic
0xC8571870	ent_amb_fbi_fire_lg
0xC888D037	ent_ray_fam3_glass_break
0xC84E1844	enter_b_chair
0xC88A14E5	enter_bag
0xC809A7B2	enter_broken_fuse_1
0xC853589C	enter_fl_v3_lamar_facial
0xC8A42DBA	enter_low_l_0-5m_-180_facecover
0xC8206974	env_wind_sand_dune
0xC8223927	ep_4_rcm_jimmyboston_base_jb
0xC8090549	epsd_aaae
0xC830B109	error_update_sc_local
0xC8F3AAB7	ex_mp_h_din_table_06
0xC8F784D4	ex_p_mp_door_apart_door_s
0xC87680E4	exp_blimp3_6
0xC81EAF1C	f_exit_02_davies_ped_d
0xC8DFE3A3	f_exit_hooker
0xC8D5366C	f_intro_french
0xC8E4E6BD	faft_azaa
0xC8746A87	fam1_drad
0xC8473F25	fam2_boam
0xC8221901	fam3_cfai
0xC89185B6	fam3_dwae
0xC8A43BB6	famt_ddaa
0xC81969D7	fan3_cnaa
0xC8D9ACAC	fatf_braa
0xC85A256A	fatl_dqaa
0xC8DE3F9E	fb_l_lip_corner_005
0xC8E1573F	fb_upperliproot_045
0xC879DCBB	fbi1_bvag
0xC86BC8CE	fbi2_bdac
0xC8FB51A9	fbi3_dvaa
0xC8CB27FA	fbi3_euaa
0xC8869101	fbi5a_dpac
0xC82D0C3C	fbi5a_moab
0xC85AB346	fbi_4_int_fra_react_mic
0xC8E065F3	fbis1_amaa
0xC8E63E39	fbis1_ctae
0xC8ABA780	fbis4_ipac
0xC85D05E7	fcftl_cpam
0xC8D4CC31	fcma_cpak
0xC8FD2577	fcma_dman
0xC8EA30D9	fcmf_ddac
0xC86E9B1D	fcmf_deac
0xC8BFA357	fcmf_diaf
0xC8F5E6E5	fcmft_csar
0xC87D36D0	fcmft_ddaf
0xC8C8C4A3	fcmj_coak
0xC80E96CB	fcmt_dlae
0xC80372DD	fctj_abab
0xC8210D81	fctl_cxad
0xC8B278E4	female_a_ped_a_idle_drunk
0xC8CAFC8F	female_dealer_focus_player_04_idle_intro_facial
0xC8446D3D	female_pos_a_p2_weed_smoke_01_normal_weed
0xC849BFFB	female_pos_b_p1_idle_02_lighter
0xC8F543DE	female_pos_b_p1_weed_idle_02_lighter
0xC8A2F744	female_pos_b_p2_weed_idle_02
0xC83FFB49	female_pos_c_p1_weed_idle_02_lamar_strain
0xC8F9FB0C	female_retrieve_all_cards
0xC877020D	festtagsstimmung
0xC8F8FC29	fh3a_gwaw
0xC8F48C29	fh3a_jcaa
0xC8D5B97F	fhf_biaa
0xC84985D4	fill_ac5_mph_hum_fin_int_p2_004-1
0xC82418F6	fill_ac5_mph_nar_mid_p2_006-5
0xC8DB6B32	fill_basicmould_v2_pressoperator
0xC8E3DDCB	fin_b_mcs_2-3
0xC8F12266	fin_c_ext-13
0xC8C02E7E	fin_c_int-22
0xC845D9DF	final_loop_guy
0xC861DF3A	finc1_gsaa
0xC89FC92D	fire_wrecked_tank_cockpit
0xC82AC42A	fix_golf_int-1
0xC8BB3CA3	fix_stu_ext-2
0xC804D2D9	fix_wrms_ig2_weak_action_franklin
0xC8001E40	fixf_fin_mcs2-13
0xC8894718	fkn0_beaa
0xC84BBD2E	flinch_intro
0xC8804452	fm_1_buaa
0xC8595A81	fm_1_cmaa
0xC8932F39	fm_tat_f_012
0xC8B5FEED	fm_tat_m_046
0xC87CACF9	fmm_caaa
0xC880F5E4	fmm_jkaa
0xC889F34A	fnfl_amab
0xC841619A	fnfl_avag
0xC88E34C0	fograytex
0xC8BD0B34	follow_oat_fos_ep1_p8_00-0
0xC8831848	forklift-7
0xC847D55B	fos_ep_1_p7-11
0xC8CA71D5	fpmf_bcaa
0xC805EE34	fq2-11
0xC809C0A8	fr_037
0xC8EA980D	fra_2_ext-25
0xC890E4B4	franklinfailingtostartcar_exit
0xC875557D	freemode
0xC854A6C2	frlfb_avae
0xC8ECE3D5	frlfb_bgak
0xC81DD6FE	frlfb_cdad
0xC8C1507B	g_m_m_armboss_01_dual-1
0xC8FECE61	g_m_m_cartelguards_02_dual-8
0xC8EA6D71	g_m_m_chicold_01_dual-2
0xC8D1C25E	g_m_m_goons_01_dual-23
0xC8411071	g_m_y_famfor_01_dual-18
0xC87DF6AF	gfx_test
0xC8173406	gfxmesh::display
0xC8942D33	golden
0xC87CAD9F	golfista
0xC8B51CDC	good_job_my_manager_male_facial
0xC8CD097F	gr_prop_gr_target_w_02a-25
0xC853667B	gr_prop_gr_trailer_tv
0xC84DBF22	gr_prop_inttruck_living_01
0xC8226AE5	grabbing
0xC8467AF4	greet_gang_vagos_m
0xC89BD8F3	grenade_throwing_trev
0xC8CD70F6	gta_spec_alpha.sps
0xC8BDA96F	gta_spec_const.sps
0xC8B1C824	gunsh_dgae
0xC8964466	h4_prop_h4_tool_box_01a-34
0xC8900F21	h4_prop_h4_tool_box_01b-8
0xC8F2EEE4	handcuffed
0xC8771BE4	handsup_loop
0xC855955B	happened
0xC81ED0F6	hash_c81ed0f6_afbtrqa_collision
0xC83EC16D	hash_c83ec16d_ahoeyejx_collision
0xC86F3624	hash_c86f3624_vbdqsvd_collision
0xC83B828E	heat_ecaa
0xC8AEF881	heat_eyaa
0xC804E5C3	hei_heist_apart2_door-38
0xC8223826	hei_prop_carrier_aerial_2
0xC871EE3E	hei_prop_drug_statue_01-32
0xC87399E7	hei_prop_heist_rolladex
0xC8E25AD5	hei_v_ilev_fh_heistdoor2-26
0xC80E3027	hei_yacht_heist_bedrm
0xC8E0F2A5	helping_friend_inside_cam
0xC8E2E3B7	hez8
0xC81AFC98	hf_heavyarmour
0xC8DFD069	hi_idle_b_m02
0xC822C786	holster_2_aim
0xC87FCDB6	hs3_pln_int-28
0xC8A408D0	hs3_prp_vin2-3
0xC8F7A99D	hs3f_all_esc_b-1
0xC820BDAD	hs4_lsa_take_vel-4
0xC8182F24	hunt1_caab
0xC86A628E	idle_01_beaker_01
0xC878BBDD	idle_p_m_bag_var22_arm_s_f
0xC86A3D50	ig_1_idle_a_fascistpricks
0xC81A3283	ig_acidlabcook_dual-38
0xC866ABB5	ig_entourage_b
0xC854CD18	ig_kaylee_dual-8
0xC8617B32	ig_lamardavis_dual-44
0xC80DF962	ig_lildee
0xC8B7167D	ig_nigel
0xC8E440CE	imp_prop_car_jack_01a
0xC8674299	imp_prop_impexp_lappy_01a
0xC8564DAD	imp_prop_impexp_tablet
0xC8A0CAD9	imperator-19
0xC84792BD	innerposition
0xC8A1DE20	input_replay_toggletips
0xC8722109	input_script_select
0xC851A0CB	insult_ped_hipster_conv05_part1
0xC8F7E23F	insult_ped_tough_conv02_part2
0xC83B7339	j_hz
0xC822FFAC	jh2a_storm_drain_ma
0xC89CFEEA	jh_epaa
0xC867B7D7	jh_fjaa
0xC8A2A177	jhs1_axaa
0xC85F5772	jhs1_cpaa
0xC8ED4569	josh2_bdad
0xC803B752	keeper_idle_b
0xC8A8230E	key_0
0xC878ADA3	key_f13
0xC8EB2908	key_s
0xC8153516	layout_bike_manchez2
0xC8EC6158	layout_bike_sport
0xC8A8482C	layout_cutter
0xC8CD26ED	layout_one_door_van
0xC89627D3	layout_plane_bombushka
0xC896B3C3	layout_van_youga3
0xC8F7E971	leanamountmax
0xC8521F26	lem1_cxab
0xC8D0784D	lem1_guaa
0xC81F7F70	lem2_fcab
0xC82189AB	lem2_glay
0xC88B8C2F	lguard-13
0xC8D66B29	lguard-39
0xC8A32AD8	light_direction_override
0xC8135240	line_4_gb_2
0xC8BC8288	literal/length
0xC8487441	lm1_terminador_half_warehouse
0xC8F57DDD	load_guillotine_singlemoneystrip
0xC866E0D2	location_alamo_sea
