0xCA195D6E	/awg
0xCA847D0B	base_idle_stretch
0xCAC05EA6	base_p1_franklin
0xCA2F5570	base_pose_02
0xCADD5D2D	bati2
0xCADF64E9	bb2_alaa
0xCAE98604	bb4_asau
0xCA6F01EF	benefactor
0xCA486482	bigscorea24
0xCA0D6977	bike_mechanic_pvg
0xCA0F2506	bkr_prop_fakeid_pen_01a-37
0xCAE1971B	blazer5-1
0xCA0CDC33	blender:
0xCA47C19D	blindfire_low_l_exit
0xCA1D58F8	blood
0xCAF8D6A1	blowtorch_cutting_dml
0xCAA32BA9	bnkheist_apt_norm
0xCA623DDA	bodhi_rds_idle
0xCA702997	bombcam01
0xCA58B4B7	bouncer_greet_player_neutral
0xCAB19360	bs_2a_mcs_3_alt-0
0xCA99D665	bspra_cdac
0xCA1C9718	buccaneer-4
0xCA25ADA5	bullet_tracer_xm_akula_mg_turret
0xCA00110F	buoyancyfactor:
0xCAB9BDB0	button_press_h4_prop_h4_casino_button_01a
0xCA10CBD0	buzz_in_player_peda
0xCA5AC8BA	carwash_sounds
0xCA7EB09F	cat_petting_cat_facial
0xCA1F381D	cbrad_cnab
0xCA54E902	ch1_04b_vinegrapes_25
0xCAC8CC68	ch_prop_arc_love_btn_burn
0xCAE3ECE9	ch_prop_arcade_street_01a-33
0xCA2D7881	ch_prop_arcade_street_01b-26
0xCA8B963D	ch_prop_arcade_street_01c_off-16
0xCAE5D3A5	ch_prop_arcade_street_01d-2
0xCA5F6F82	ch_prop_arcade_street_01d-31
0xCAA16D21	challenges.
0xCAABA8AF	chatc_aead
0xCA51E8B9	chatc_bhae
0xCACF9857	chi2_dgag
0xCA572BC4	chop_cam_c_01
0xCA053362	closest
0xCA438CBB	clouds_fog.sps
0xCAB6FAB2	combat@reposition@cop@turn_right
0xCABF6E68	common:/data/control/alternate_duck_handbrake.meta
0xCABC6CC3	confirm_beep
0xCAD03A6A	confused_01_lo_bkr_prop_fakeid_clipboard_01a
0xCA8F1948	console_wasnt_fun_end_loop_trevor
0xCA83C028	contentchangesets
0xCACB5970	convert
0xCAB7C678	corona_oatfos_ep_1_p1_017-1
0xCA708228	corona_oatfos_ep_1_p1_017-14
0xCA2265A0	corona_oatfos_ep_1_p1_026-11
0xCAF713F7	cough_a_facial
0xCA1C06E9	cpedintelligence::canentityincreasebattleawareness
0xCA55966E	crazy_dance_2
0xCA56210F	creatures@rottweiler@in_vehicle@low_car
0xCAB5FF26	crew_logo_sum23_24
0xCA67680A	cs6_lod_em_slod3
0xCAB971BE	cs_andreas_dual-11
0xCA2EB723	cs_cig_smoke_lamar
0xCACE7841	cs_drfriedlander_dual-107
0xCA2AFB99	cs_exile2_iron_steam-21
0xCA830D5B	cs_fam4_fridge_door-55
0xCA160FE3	cs_jimmyboston_dual-12
0xCAE6049B	cs_johnnyklebitz_dual-23
0xCA2CE3B3	cs_lamardavis_dual-25
0xCA645705	cs_mrsphillips_dual-14
0xCA371CF6	cs_pro_train_sparks-4
0xCAE8005D	cs_sol1_plane_wreck_smoke-6
0xCA7BBA8A	cs_sv_rob_sub_nose_sand_spray
0xCAE02177	cs_taostranslator2_dual-13
0xCA7CFFF3	cs_xm_lighter_flame-4
0xCA69C90C	csb_anita_dual-15
0xCA8D9FA7	csb_ary_02_dual-14
0xCA871DB6	csb_ary_02_dual-34
0xCA01A33D	csb_ary_02_dual-4
0xCA188BA0	csb_ary_dual-33
0xCA846157	csb_billionaire
0xCAF6005A	csb_bogdan_dual-18
0xCA0C662F	csb_celeb_01_dual-6
0xCAE9E5D5	csb_cletus
0xCAB5507E	csb_faber_02_dual-1
0xCA1287E9	csb_huang_dual-51
0xCA60B871	csb_jamalamir_dual-16
0xCA9E80B1	csb_johnny_guns_dual-47
0xCAD023EB	csb_luchadora_dual-67
0xCA4FA88E	csb_luchadora_dual-79
0xCA9803F6	csb_maude_02_dual-39
0xCA059251	csb_maude_dual-4
0xCA7B762C	csb_moodyman_02_dual-37
0xCAF3DBAC	csb_musician_00_dual-7
0xCAB4B4D3	csb_oscar_02_dual-5
0xCAEE00DA	csb_rufusbellows_dual-1
0xCA091814	csb_screen_writer_dual-5
0xCA300478	csb_talcc
0xCA40CABA	csb_thornton_dual-21
0xCAA462DB	csb_yusufamir_dual-34
0xCA3CF168	csb_yusufamir_dual-6
0xCADDFCB5	cst2_bvaa
0xCA9338E4	cst2_gsaf
0xCAD13601	cst2_icab
0xCADADA8A	cst2_jcaf
0xCA66C719	cst3_daad
0xCAC3F6FB	cuffed_shirt
0xCA8D0285	cut_bigscr_vomit
0xCAE55489	cut_hs4_plane_land_disturb_dust-33
0xCA54D70C	cut_martin1
0xCACF0BAE	cut_sec_veh_tire_smoke-6
0xCA2184C1	cut_tn_swat_van_skid_smoke-26
0xCADF6B18	cut_xm3_bike_wheel_debris-25
0xCA987213	cut_xm3_plane_disturb_dust-11
0xCAA32A9B	d_ac1_fin_b_ext_alt1_p2_01-2
0xCA6B71FC	d_ac1_fra_2_ext_p3_04-22
0xCA43DE91	d_ac1_hs4f_tun_ent_p2_t01_00-0
0xCA705FCF	d_ac27_mmb_1_rcm_02-1
0xCAD6F817	d_ac2_tunf_drp_bag_p1a1_t00_00-2
0xCAC98698	d_ac3_es_4_rcm_p2_003-3
0xCADCD3BA	d_ac3_tunf_drp_bag_p1a2_t00_03-3
0xCA7CB1E8	d_ac59_mic_2_mcs_3_02-7
0xCA22AF6D	d_ac6_sol_1_mcs_2_007-0
0xCA9646F0	da_dlc_h4_ih_birds_tropical_jungle_day
0xCA6F3629	danceidle_mi_11_takebreath_laz
0xCA190655	danceintensityflash03
0xCA009C5C	darts_lose
0xCA3F6104	data.
0xCA9DD0BA	death_high_short
0xCA77B617	degeneratepathregion
0xCA014906	delayedfiringafterautoswap
0xCA887A0D	deleteportmapping
0xCABFC70D	detach_container
0xCA854015	dh1_asab
0xCAF08B77	dh1_cpab
0xCA2C6EFA	dh2a_elaa
0xCAB13611	dh2b_gyaa
0xCAFFE827	dialogue.
0xCAD60A4E	died_in_explosion
0xCA0858A9	dilettante-67
0xCAC8014F	director_mode
0xCAB5C6A2	disablespectate
0xCAC804E9	dive_surfacing_to_run
0xCAE0615E	dixn_idle_cntr_kc_glass
0xCAE28AF5	dixn_idle_cntr_n_dix_face
0xCADF5E0F	dixn_trns_open_to_lft_b_dix
0xCA5EE493	dl_cascade_shadows
0xCA403DE0	dlc_24-2/dlc_24-2_mfh_finale
0xCA909A2C	dlc_heists_ornate_bank_finale_sounds
0xCA1A2BC0	dlc_ie_pl_enemy_sounds
0xCA4D1ECD	dlc_low2_ibi_sounds
0xCAF2397B	dlc_mp_apa_f_jbib_9_3
0xCAC93A87	dlc_mp_apa_f_special2_2_0
0xCACF23B7	dlc_mp_ar_f_legs_1_7
0xCA88E4A1	dlc_mp_arena_f_berd_4_3
0xCA4B998F	dlc_mp_arena_f_legs_7_12
0xCAB5B9D3	dlc_mp_arena_f_phead_4_2
0xCADD6B1E	dlc_mp_arena_f_special_0_20
0xCA63555B	dlc_mp_arena_f_special_1_2
0xCA48FBDD	dlc_mp_arena_f_special_5_15
0xCAEEF16A	dlc_mp_beach_f_jbib0_4
0xCA770433	dlc_mp_bh_f_jbib_13_2
0xCA12C56F	dlc_mp_bh_f_jbib_14_11
0xCA2A5031	dlc_mp_bh_f_jbib_15_1
0xCA2D3F55	dlc_mp_bh_f_jbib_17_10
0xCABBC61F	dlc_mp_bh_f_jbib_3_11
0xCA0BD452	dlc_mp_bh_m_feet_2_19
0xCA71ACA3	dlc_mp_bh_m_jbib_16_16
0xCADC5170	dlc_mp_biker_f_decl_27_0
0xCAD24B3C	dlc_mp_biker_f_jbib_9_4
0xCABF1845	dlc_mp_busi_f_feet0_1
0xCAF35A55	dlc_mp_busi_m_feet0_6
0xCA01AD53	dlc_mp_fixer_f_legs_5_14
0xCA6459FA	dlc_mp_fixer_f_legs_5_4
0xCAA8B753	dlc_mp_fixer_f_peyes_1_7
0xCA3FBB3D	dlc_mp_fixer_f_phead_5_0
0xCACE1060	dlc_mp_fixer_m_phead_7_8
0xCA35C017	dlc_mp_gr_f_berd_4_12
0xCAE8D932	dlc_mp_gr_f_decl_5_7
0xCA4A88EC	dlc_mp_gr_f_jbib_10_20
0xCA84B723	dlc_mp_gr_f_jbib_8_4
0xCA8D8B13	dlc_mp_gr_f_legs_2_12
0xCAC7EE93	dlc_mp_gr_f_special_21_0
0xCA2DB447	dlc_mp_gr_f_special_5_6
0xCAE1DF83	dlc_mp_gr_f_torso_13_16
0xCAF056F7	dlc_mp_gr_f_torso_18_9
0xCADF32B9	dlc_mp_gr_f_torso_23_8
0xCA85E5DB	dlc_mp_gr_f_torso_8_6
0xCABAB83D	dlc_mp_gr_m_berd_0_10
0xCA74B862	dlc_mp_gr_m_berd_2_4
0xCA8EAC1C	dlc_mp_gr_m_berd_3_16
0xCA0E068D	dlc_mp_gr_m_hair_16_0
0xCA2A3276	dlc_mp_gr_m_jbib_10_6
0xCA078029	dlc_mp_gr_m_jbib_11_2
0xCAA93294	dlc_mp_gr_m_jbib_7_19
0xCA6CAC83	dlc_mp_gr_m_phead_0_17
0xCA680445	dlc_mp_gr_m_torso_14_17
0xCA7733DF	dlc_mp_gr_m_torso_16_9
0xCA8E0949	dlc_mp_h3_f_berd_9_9
0xCA185EDD	dlc_mp_h3_m_hand_3_2
0xCA274580	dlc_mp_h3_m_special_11_9
0xCA57B9F1	dlc_mp_h4_f_peyes_2_3
0xCA68CDC5	dlc_mp_h4_f_special_2_12
0xCA4FCD97	dlc_mp_h4_f_special_2_14
0xCA4E2FBD	dlc_mp_h4_f_special_8_0
0xCAAC80D0	dlc_mp_h4_m_peyes_0_6
0xCAAD14DB	dlc_mp_heist_f_teeth_3_7
0xCAB806DE	dlc_mp_heist_f_torso_50_0
0xCAD57ABD	dlc_mp_heist_f_torso_79_1
0xCAC6C6EE	dlc_mp_heist_m_feet_1_0
0xCA210D43	dlc_mp_heist_m_special_3_0
0xCA06876B	dlc_mp_hips_f_jbib7_3
0xCA1E8B55	dlc_mp_ie_f_jbib_7_3
0xCA3A0971	dlc_mp_jan_f_hand_4_3
0xCA9B0286	dlc_mp_jan_m_hand_8_9
0xCA72FB65	dlc_mp_jan_m_uppr_6_9
0xCA17F3B2	dlc_mp_low_m_feet_1_15
0xCAA1C41F	dlc_mp_lts_f_hand_3_24
0xCA05CC35	dlc_mp_lts_m_hand_2_6
0xCAD5AEEF	dlc_mp_luxe2_f_jbib_2_4
0xCA42F9A0	dlc_mp_luxe2_f_teeth_27_0
0xCAE21D15	dlc_mp_smug_f_berd_4_18
0xCA8B0C5D	dlc_mp_smug_f_phead_0_20
0xCAA7F1A3	dlc_mp_smug_f_special_1_5
0xCAD2C3F5	dlc_mp_smug_m_jbib_2_23
0xCAB6E799	dlc_mp_smug_m_phead_8_23
0xCAB3D44C	dlc_mp_stunt_f_feet_0_3
0xCA181235	dlc_mp_stunt_f_jbib_5_2
0xCAB51F5E	dlc_mp_stunt_f_phead_7_2
0xCA1D9E1F	dlc_mp_stunt_f_phead_7_9
0xCAB3A337	dlc_mp_sum2_f_jbib_12_3
0xCA1F2655	dlc_mp_sum2_f_jbib_18_14
0xCA323B3B	dlc_mp_sum2_f_peyes_0_17
0xCAD4676D	dlc_mp_sum2_m_feet_4_9
0xCA16C2CD	dlc_mp_sum2_m_jbib_11_14
0xCA02DE8B	dlc_mp_sum2_m_jbib_12_14
0xCA92D2C9	dlc_mp_sum_f_special_2_15
0xCAA17719	dlc_mp_sum_f_special_4_12
0xCA7651CE	dlc_mp_sum_f_special_4_3
0xCAEF1477	dlc_mp_sum_m_jbib_17_8
0xCA9C37CB	dlc_mp_sum_m_torso_4_1
0xCA2C2DBA	dlc_mp_sum_m_torso_8_7
0xCAAF6DED	dlc_mp_tuner_f_hand_6_2
0xCAA3F618	dlc_mp_tuner_f_jbib_5_5
0xCA4EDF7C	dlc_mp_tuner_f_jbib_6_3
0xCA50FB27	dlc_mp_tuner_m_jbib_17_1
0xCAEBAD55	dlc_mp_tuner_m_jbib_9_7
0xCAF1C19C	dlc_mp_vwd_f_jbib_20_24
0xCA02D79A	dlc_mp_vwd_f_legs_2_19
0xCAC5AC6A	dlc_mp_vwd_f_peyes_0_2
0xCA778621	dlc_mp_vwd_m_jbib_22_0
0xCAD55B7A	dlc_mp_vwd_m_jbib_5_7
0xCA590519	dlc_mp_vwd_m_jbib_8_2
0xCAAF0AF2	dlc_mp_vwd_m_peyes_1_19
0xCA35CE39	dlc_mp_x17_f_berd_11_11
0xCADBF0D4	dlc_mp_x17_f_feet_7_1
0xCAFD77D2	dlc_mp_x17_m_feet_0_1
0xCAE93E82	dlc_mp_x17_m_feet_3_17
0xCAFE4DE7	dlc_mp_x17_m_jbib_2_11
0xCAA78B4C	dlc_mp_x17_m_phead_4_10
0xCAEAB22F	dlc_mp_x17_m_special_1_1
0xCA535710	dlc_mp_x17_m_teeth_0_0
0xCAFA6B28	dlc_mp_x22_f_feet_3_18
0xCA8D7BC1	dlc_mp_x22_f_jbib_1_22
0xCA2CDADB	dlc_mp_x22_f_special_0_25
0xCA5CDD44	dlc_mp_x22_f_special_1_16
0xCA761ACD	dlc_mp_x22_m_feet_3_20
0xCAF34070	dlc_mp_x22_m_jbib_0_25
0xCAD7F0A8	dlc_mp_x22_m_jbib_7_9
0xCABF8C15	dlc_mp_x22_m_peyes_3_3
0xCAF497BA	dlc_specialraces/sr_rs
0xCA495705	dodo
0xCA64092F	drey1_awap
0xCA94173A	drf_hnad
0xCAF7DD9F	drf_mic_1_cs_1-45
0xCA41879C	drf_mic_2_cs_1-66
0xCA122D39	dt1_lod_7_20_emissive_proxy
0xCABF7C2C	dt_additions_sm_26_emissivefix
0xCAF3529D	e_rwnirnem
0xCA678CD4	ec33
0xCAEB4CB8	ef_2_rcm-10
0xCA1F063E	ejqynxoz
0xCAF199FC	engine_l
0xCABA3527	english
0xCAEFB1EA	ent_amb_fbi_smoke_stair_gather
0xCA821429	ent_amb_water_drips_sm
0xCAB7777F	eps5_acan
0xCAFAF38B	es_4_rcm_p2_concat-2
0xCA922A3E	ex_prop_exec_lighter_01-27
0xCAC2BBEE	exemplar-38
0xCAEF74FF	exit_05_player_facial
0xCAABDCA1	exit_trevor_facial
0xCA9B7C19	exit_van_tobank_player2
0xCAD8CB3C	exl3_dbai
0xCA41FAEE	exp_arc_grd_flashbang
0xCAE72C51	ext1_cqaz
0xCA584685	ext2_baaa
0xCA9D0341	extreme3_stop
0xCA293E65	fam1_hraa
0xCAE3C915	fam2_bmab
0xCAF449E2	fam2_bmbe
0xCAB199CE	fam3_bhaa
0xCA3F890E	fam3_dwaf
0xCA8DFFF6	fam6_abaa
0xCA555200	famt_btaa
0xCA115F76	fan1_bmac
0xCA9E496D	father/son.
0xCA53EE1E	fatj_deaa
0xCAAE43FB	fb_jaw_001
0xCAA45DA6	fbi-2
0xCA2AC0B2	fbi2_acaa
0xCA99F8FB	fbi2_avaa
0xCA5221F9	fbi3_deaa
0xCAC36322	fbi3_gpax
0xCA47C01D	fbis4_ckac
0xCAC10535	fcfj_cyaf
0xCAD649EC	fcft_cvaj
0xCA7DCC4E	fcft_draa
0xCA9C5F40	fcft_eaab
0xCAFD77E6	fcma_crad
0xCA5B409A	fcmf_cyal
0xCA91C732	fcmft_cqaj
0xCAF1C24A	fcmft_cuab
0xCA441BF1	fcmj_cpab
0xCA6F942F	fcmt_dnae
0xCAE58D00	fcmt_dpab
0xCA803DDC	fctj_aqap
0xCA5E8D62	fctl_cqaj
0xCAB326E8	fctl_cyak
0xCAC6257C	fe_warning_select
0xCAEED45C	female_pos_a_p1_enter_lighter
0xCAE272AB	female_pos_a_trans_p2_weed_to_p1_facial
0xCAD37447	female_pos_b_p1_idle_02
0xCAF2AD15	female_pos_c_p1_weed_smoke_02_ashtray
0xCA558CD8	fh3a_hpaa
0xCA4B802D	fifth_shot_base_facial
0xCACA18DE	fill_ac16_mph_tut_mid_p1_005-4
0xCA0F63AF	fill_ac5_mph_nar_mid_p2_007-17
0xCADA71AD	fill_ac5_mph_nar_mid_p2_007-20
0xCA700630	fin_c_mcs_1-0
0xCAC255AE	finale
0xCA947218	finc1_dlab
0xCA5EB167	finh1_caaf
0xCA9E89A3	finh1_cxah
0xCA39D978	firetruck_rear_ds_idle
0xCAEDF67C	fix_agy_int1-69
0xCA02C69A	fix_franklin_pvg
0xCAB0591A	fix_pro_ig3_pro_elevator_action_bag
0xCAF5A7C1	fix_trip1_ext-0
0xCA0C3BA8	fkn0_ciap3
0xCA7B2956	fkn1_igaf
0xCAD3B0FA	fkn1_jzae
0xCA030671	flag_average_car
0xCA7A2828	flap1
0xCA06533E	fm_1_fiab
0xCAEF5C2D	fm_hip_m_tat_046
0xCA542DB4	fm_hip_m_tshirt_012
0xCA810163	fm_tat_m_039
0xCA973D07	fmf_abaa
0xCA522487	fmf_ahaa
0xCA7175F6	fmfl_anaa
0xCAB5676E	fmfl_araa
0xCA648405	fmm_dtac
0xCA9AA41A	fnfl_axaj
0xCA8D5D12	fontid
0xCAEDD6FF	fontoutlinecolorhex
0xCA0C8549	franklin_fkn0_cjad_01_g2
0xCA6C504F	free_fall_loop
0xCA82DDA6	freight_elevator_01_door_open
0xCA2318D1	freightcont2-3
0xCAD4612C	frlfb_bsac
0xCACF283E	frlfd_adac
0xCAC82C52	frogger-5
0xCA4CC9DF	frontleft1
0xCAAC76EE	full_cycle_v2_dollcast
0xCA619F85	fxfr_ptj_1_male
0xCA3208F0	g_f_m_fooliganz_01_dual-1
0xCAF1CD75	g_m_m_cartelguards_01_dual-24
0xCA52CDFE	g_m_m_mexboss_02_dual-5
0xCAB2DDDF	g_m_y_famca_01_dual-17
0xCAF348CF	g_m_y_pologoon_01_dual-21
0xCA04D0CA	game_mode
0xCA81AFD5	garage_door_scripted_close
0xCA7F99AF	geschnitzter
0xCA0A765B	get_in_car_cognoscenti_front
0xCA052978	getup_b_facial
0xCA97E0B5	glass_spec.sps
0xCA51E9E5	gr_prop_gr_crates_weapon_mix_01b-3
0xCA3EE999	gr_prop_inttruck_door_static
0xCA4B1438	gr_prop_inttruck_light_ve_g_aq
0xCA145A78	ground_box_3_gb_1
0xCA2065A9	group
0xCACA7093	gta_normal_spec_reflect_emissive
0xCA513130	guard_beatup_mainaction_guard2
0xCA0AE8F4	gunsh_deaa
0xCA6916EF	gyec6/
0xCA00CDAA	h4_des_hs4_gate_exp_03-0
0xCA8A7FDF	h4_islandxdock_water_hatch
0xCAD1B870	h4_prop_battle_lights_ceiling_l_f
0xCAB66A28	h4_prop_h4_casino_button_01a-63
0xCA8CDB48	h4_rig_dj_01_lights_01_b
0xCAC021F4	hacking_failure
0xCA8A3B32	halloween_adversary_hunted_heart_mixscene
0xCA757E75	hand2chin_michael
0xCA8054E4	hash_67981400
0xCA177D80	hash_ca177d80_syabjne_collision
0xCA3D6A3B	hash_ca3d6a3b_qskqxq_collision
0xCA9117F0	hash_ca9117f0_ldcurms_collision
0xCAFF9528	hash_caff9528_kehwppi_collision
0xCAC6290A	hc_gunman_dual-8
0xCAB7DF0A	heat_ekaa
0xCA676E9A	hei_ch1_09_arc_fizz
0xCABC2478	hei_heist_acc_artgolddisc_04
0xCA72FD58	hei_po1_03
0xCAB94BE5	hei_prop_cc_metalcover_01
0xCAFEFCC8	hei_prop_gold_trolly_empty
0xCA47E15A	hei_prop_heist_docs_01-21
0xCA4484DD	hei_prop_heist_drug_tub_01-2
0xCAAD91F7	hei_prop_heist_lockerdoor
0xCAC93353	hei_prop_heist_off_chair-20
0xCA48A2AE	hei_prop_heist_trevor_case-30
0xCAFE24F0	hei_prop_heist_trevor_case-5
0xCA8876AA	hei_prop_heist_tub_truck-0
0xCA6081E7	hei_prop_hst_usb_drive-27
0xCA4339BB	hei_yacht_heist_bridge
0xCAA85B15	hexer-3
0xCA3CAC89	hit_react_die_loop_ped_a
0xCA6AD881	holdup_sec_loop_withgun_labped
0xCA21928E	holster
0xCA004BDB	hooker_chat_solo
0xCA608637	hover_unlock
0xCAF80728	hs3_int-27
0xCAC76EEF	hs3_int-32
0xCAB55461	hs3_pln_int-45
0xCA77C6FC	hs3f_dir_ent-5
0xCA9D72B3	hs4_vel_lsa_isd
0xCAEF789D	hs4f_int-23
0xCA75D176	hub_rf_armor
